MANIFEST — 商业/新媒体平台原创署名科普（对照层语料，非权威数字来源）
format: 相对文件名 | 标题 | 直链 | 发布方 | 日期
NOTE: 本目录只做「口语怎么问 / 大家关心什么」的对照，任何数字必须回官方指南 raw 文本逐条核对，禁止直接引用本目录。

163jiankang-L18KRS6400388047-查出肾结石先别慌-大小位置不同-治疗方式天差地别.txt | 查出肾结石先别慌，大小位置不同，治疗方式天差地别 | https://www.163.com/jiankang/article/L18KRS6400388047.html | 网易健康 | 2026-07-07
163jiankang-L2S0IBG500388047-男生到年纪就逃不过秃顶-靠谱防脱方案来了.txt | 男生到年纪就逃不过秃顶？靠谱防脱方案来了 | https://www.163.com/jiankang/article/L2S0IBG500388047.html | 网易健康 | 2026-07-27
163jiankang-L3DTQCNO00388047-久坐躺平要小心-年轻人易诱发下肢深静脉血栓.txt | 久坐躺平要小心！年轻人易诱发下肢深静脉血栓 | https://www.163.com/jiankang/article/L3DTQCNO00388047.html | 网易健康 | 2026-08-03
163jiankang-L6PH67RB00388047-突发脑出血前-身体其实早给过你5个信号.txt | 突发脑出血前，身体其实早给过你5个信号 | https://www.163.com/jiankang/article/L6PH67RB00388047.html | 网易健康 | 2026-09-14
guokr-455458-脱去咖啡因的低因咖啡-还有灵魂吗.txt | 脱去咖啡因的低因咖啡，还有灵魂吗？ | https://www.guokr.com/article/455458 | 果壳网（科学人） | 2020-01-16
guokr-455465-为了-健康-干了这200瓶红酒呗.txt | 为了“健康”，干了这200瓶红酒呗？ | https://www.guokr.com/article/455465 | 果壳网（科学人） | 2020-01-16
guokr-455563-你的家乡菜-是全国第几咸-反正南方人吃菜越来越咸了.txt | 你的家乡菜，是全国第几咸？反正南方人吃菜越来越咸了 | https://www.guokr.com/article/455563 | 果壳网（科学人） | 2020-01-16
guokr-455980-又请病假-上班族十大谎言-我病了-高居榜首.txt | 又请病假？上班族十大谎言，“我病了”高居榜首 | https://www.guokr.com/article/455980 | 果壳网（科学人） | 2020-01-17
guokr-455989-邻居家的孩子-人设崩塌-好学生还真不一定喜欢学校.txt | “邻居家的孩子”人设崩塌？好学生还真不一定喜欢学校 | https://www.guokr.com/article/455989 | 果壳网（科学人） | 2020-01-17
guokr-455993-冬季雪地撒欢-滑雪怎样安全又尽兴.txt | 冬季雪地撒欢，滑雪怎样安全又尽兴？ | https://www.guokr.com/article/455993 | 果壳网（科学人） | 2020-01-17
guokr-456001-新型肺炎来了-家里应该囤药吗.txt | 新型肺炎来了，家里应该囤药吗？ | https://www.guokr.com/article/456001 | 果壳网（科学人） | 2020-02-03
guokr-456002-因各种疫情信息而无助-腹泻甚至失眠-你需要了解这些.txt | 因各种疫情信息而无助、腹泻甚至失眠？你需要了解这些 | https://www.guokr.com/article/456002 | 果壳网（科学人） | 2020-02-03
guokr-456003-家用消毒方法-哪些好用-哪些不能用.txt | 家用消毒方法，哪些好用，哪些不能用？ | https://www.guokr.com/article/456003 | 果壳网（科学人） | 2020-02-03
