# external/heart_nutrition_orgs/raw/MANIFEST.txt
# 国家心血管病中心 / 阜外医院站内页 / 中国营养学会(cnsoc.org+dg.cnsoc.org) 公众科普正文清单
# 格式: 相对文件名 | 标题 | 直链 | 发布机构 | 日期
cnsoc-acadconfn-112620200.txt | 首届“天坛・科学汇”在京召开 | https://www.cnsoc.org/acadconfn/112620200.html | 中国营养学会（www.cnsoc.org） | 2026-01-16
cnsoc-acadconfn-412501200.txt | “科创中国”生命全周期营养健康产业科技服务团走进襄阳助力区域营养健康产业高质量发展 | https://www.cnsoc.org/acadconfn/412501200.html | 中国营养学会（www.cnsoc.org） | 2025-11-04
cnsoc-acadconfn-472620201.txt | “科创中国”生命全周期营养健康产业科技服务团赴山东滨州调研——助力地方食品产业转型升级 | https://www.cnsoc.org/acadconfn/472620201.html | 中国营养学会（www.cnsoc.org） | 2026-07-22
cnsoc-acadconfn-622521200.txt | 青年力量、洞见未来—— 《IJVNR》编委会第一次会议暨中国营养学会“青托人才”学术交流会在珠海成功举办 | https://www.cnsoc.org/acadconfn/622521200.html | 中国营养学会（www.cnsoc.org） | 2025-12-25
cnsoc-acadconfn-862610202.txt | 多方聚力-《中国居民膳食指南》第五次修订工作会议在沪召开 | https://www.cnsoc.org/acadconfn/862610202.html | 中国营养学会（www.cnsoc.org） | 2026-06-18
cnsoc-acadconfn-892520201.txt | 中国营养学会与香港理工大学、香港营养学会 签署注册营养师合作备忘录 | https://www.cnsoc.org/acadconfn/892520201.html | 中国营养学会（www.cnsoc.org） | 2025-09-28
cnsoc-acadconfn-892520205.txt | 17th CNSC 分论坛丨青年力量，营养未来：第六届中国营养青年科学家报告会在京成功举办 | https://www.cnsoc.org/acadconfn/892520205.html | 中国营养学会（www.cnsoc.org） | 2025-09-28
cnsoc-acadconfn-892610206.txt | 2026“科创中国”生命全周期营养健康产业科技服务团在台州启动 | https://www.cnsoc.org/acadconfn/892610206.html | 中国营养学会（www.cnsoc.org） | 2026-09-18
cnsoc-othernews-012321200.txt | 国际组织领导人盛赞ACN大会和中国的营养工作 | https://www.cnsoc.org/othernews/012321200.html | 中国营养学会（www.cnsoc.org） | 2023-09-18
cnsoc-othernews-062510200.txt | 中国营养学会发布成立80周年纪念标识 | https://www.cnsoc.org/othernews/062510200.html | 中国营养学会（www.cnsoc.org） | 2025-04-27
cnsoc-othernews-222021200.txt | 中国营养学会发布《2020年中国人群轻食消费行为白皮书》 | https://www.cnsoc.org/othernews/222021200.html | 中国营养学会（www.cnsoc.org） | 2020-12-22
cnsoc-othernews-472620202.txt | 第十二次全国省级营养学会理事长联席会顺利召开 | https://www.cnsoc.org/othernews/472620202.html | 中国营养学会（www.cnsoc.org） | 2026-07-22
cnsoc-othernews-592520201.txt | 中国营养学会80周年纪念活动在京举行 | https://www.cnsoc.org/othernews/592520201.html | 中国营养学会（www.cnsoc.org） | 2025-09-25
cnsoc-othernews-712501200.txt | 中国营养学会及中益老龄事业发展中心等七家全国性社会组织，在保定共同启动全国“助老行动” | https://www.cnsoc.org/othernews/712501200.html | 中国营养学会（www.cnsoc.org） | 2025-11-07
cnsoc-publicac-272420200.txt | 香港大学生暑期实习活动正式启动 | https://www.cnsoc.org/publicac/272420200.html | 中国营养学会（www.cnsoc.org） | 2024-07-01
cnsoc-publicac-412511202.txt | 2025全民营养周主场活动正式启动！ | https://www.cnsoc.org/publicac/412511202.html | 中国营养学会（www.cnsoc.org） | 2025-05-18
cnsoc-publicac-412511203.txt | 中国营养学会2025香港大学生暑期实习活动启动仪式在京举行 | https://www.cnsoc.org/publicac/412511203.html | 中国营养学会（www.cnsoc.org） | 2025-07-02
cnsoc-publicac-412511204.txt | 2025香港大学生暑期实习活动圆满结束 | https://www.cnsoc.org/publicac/412511204.html | 中国营养学会（www.cnsoc.org） | 2025-08-01
cnsoc-publicac-892610201.txt | 2026香港大学生暑期实习活动圆满结束 | https://www.cnsoc.org/publicac/892610201.html | 中国营养学会（www.cnsoc.org） | 2026-07-31
cnsoc-publicac-892610202.txt | 2026年香港大学生暑期实习活动开班仪式在京举行 | https://www.cnsoc.org/publicac/892610202.html | 中国营养学会（www.cnsoc.org） | 2026-06-30
cnsoc-publicac-892610203.txt | 第八届全国营养科普大会在京成功举办 | https://www.cnsoc.org/publicac/892610203.html | 中国营养学会（www.cnsoc.org） | 2026-05-16
cnsoc-publicac-892610204.txt | 2026全民营养周主场活动在京举办 | https://www.cnsoc.org/publicac/892610204.html | 中国营养学会（www.cnsoc.org） | 2026-05-16
cnsoc-scienpopuln-382610201.txt | 《低GI食品科学与产业白皮书》在乌鲁木齐正式发布 | https://www.cnsoc.org/scienpopuln/382610201.html | 中国营养学会（www.cnsoc.org） | 2026-08-13
cnsoc-scienpopuln-462620203.txt | 第八届全国营养科普大会在京成功举办 | https://www.cnsoc.org/scienpopuln/462620203.html | 中国营养学会（www.cnsoc.org） | 2026-05-16
cnsoc-scienpopuln-642220200.txt | 《中国居民膳食指南（2022）》在京发布 | https://www.cnsoc.org/scienpopuln/642220200.html | 中国营养学会（www.cnsoc.org） | 2022-04-26
cnsoc-scienpopuln-852510200.txt | “吃动平衡 健康体重 全民行动”倡议 | https://www.cnsoc.org/scienpopuln/852510200.html | 中国营养学会（www.cnsoc.org） | 2025-05-18
cnsoc-scienpopuln-852510202.txt | 第七届全国营养科普大会在京成功举办 | https://www.cnsoc.org/scienpopuln/852510202.html | 中国营养学会（www.cnsoc.org） | 2025-05-18
cnsoc-scienpopuln-892520203.txt | 《食物植物化学物与人类健康概论》为中国营养学会80周年华诞献礼，解码植物活性物质健康价值 | https://www.cnsoc.org/scienpopuln/892520203.html | 中国营养学会（www.cnsoc.org） | 2025-09-28
cnsoc-talentservicen-062630200.txt | 2026年香港大学生暑期实习活动开班仪式在京举行 | https://www.cnsoc.org/talentservicen/062630200.html | 中国营养学会（www.cnsoc.org） | 2026-06-30
