department,title,ask,answer
肛肠,总是拉稀吃油腻会拉肚子怎么回事,三四天前就已经开始肚子疼，然后拉稀，啊吃东西就不痛不拉，吃东西就已经开始痛已经开始拉，全是拉稀。请问总是拉稀吃油腻会拉肚子怎么回事,你好通过上述病情叙述考虑由于消化不良引来的胃肠功能紊乱建议你清淡饮食，禁术辛辣油腻生凉刺激性食物，多喝热水，防止操劳受寒加班，在治疗期间患者需要做的饮食有节，规律作息积极参加体育锻炼，调节身心健康，保持自身卫生，避免因抵抗力下降而导致细菌入侵。
肛肠,连续四五天拉稀伴随腹痛怎么回事,三四天前就已经开始肚子疼，然后拉稀，啊吃东西就不痛不拉，吃东西就已经开始痛已经开始拉，全是拉稀。请问连续四五天拉稀伴随腹痛怎么回事,你好，根据你叙述的情况。如果恶心呕吐次数比较多，是需要有到医院仔细检查血常规及电解质。避免出现失水及电解质紊乱等情况。如果恶心呕吐不是特别严重，留意腹部防寒。平时留意饮食，防止排便极冷辛辣等刺激性食物。在治疗期间患者需要做的饮食有节，规律作息积极参加体育锻炼，调节身心健康，保持自身卫生，避免因抵抗力下降而导致细菌入侵。
肛肠,吃东西就拉拉稀肚子疼怎么回事,三四天前就已经开始肚子疼，然后拉稀，啊吃东西就不痛不拉，吃东西就已经开始痛已经开始拉，全是拉稀。请问吃东西就拉拉稀肚子疼怎么回事,大便性状受饮食、药物、精神、胃肠道疾病等因素影响，因此，日常要留意饮食卫生、恰当膳食，均衡营养，饮食要规律，留意低脂、低盐食物，少吃油炸及刺激性食物，少喝浓茶咖啡及冷饮，少吃豆制品及花生制品。忌烟忌酒，留意劳逸结合，防止加班，始终保持心情舒畅。必要时仔细检查大便常规。
肛肠,肚子痛拉稀两天今天三次怎么回事,胃肠炎，肠胃不舒服，恶心呕吐，拉稀，请问肚子痛拉稀两天今天三次怎么回事,你好，根据你说的情况，目前的临床诊断症状，考虑急性胃肠炎的情况，需要有积极给与药物实施治疗。建议去医院消化内科实施仔细检查，根据仔细检查结果，明确确诊，给与输液补液治疗，留意饮食，留意歇息，留意胃肠防寒，调节身心健康，保持自身卫生，避免因抵抗力下降而导致细菌入侵。
普通外科,我妈腰痛头痛肋骨也痛眼花有危险吗,"你好，大夫，男，42岁易疲劳,腰痛,尿频，1年多是什么肾虚，多做活动。请问我妈腰痛头痛肋骨也痛眼花有危险吗",不一定有生命危险，腰痛有可能是腰椎病。需要有到骨科看一看，头痛有可能是睡眠不足，血压偏高，也有可能是神经血管性头痛，偏头痛或者是紧张性头痛，肋骨痛需要有看胸外科。除了相应治疗措施缓解急性期症状外，做好日常保健和预防，给予正确的健康教育，对预防复发、防止加重、缓解症状都具有很好作用。
肛肠,今天早上就一直闹肚子恶心如何治疗,昨天晚上吃了一瓶冰啤酒，然后吃了腐竹牛腩。凌晨已经开始肚子痛，拉稀，然后拉水，到现在拉了三次了。请问今天早上就一直闹肚子恶心如何治疗,考虑胃肠炎症引来的现象，会有腹部发涨疼痛，恶心呕吐干呕，食欲不振的症状。建议少吃辛辣极冷刺激性食物，留意胃肠防寒，少食多餐，在治疗期间患者需要做的饮食有节，规律作息积极参加体育锻炼，调节身心健康，保持自身卫生，避免因抵抗力下降而导致细菌入侵。
肛肠,肚子晚上咕咕叫拉水拉肚子如何治疗,昨天晚上吃了一瓶冰啤酒，然后吃了腐竹牛腩。凌晨已经开始肚子痛，拉稀，然后拉水，到现在拉了三次了。请问肚子晚上咕咕叫拉水拉肚子如何治疗,一般如果再次出现肠胃炎，肠道功能紊乱，都会引来恶心呕吐腹痛症状呢。情况可以服食许多肠胃炎的药物仔细观察看一看，平时少吃极冷油腻辣的食物，可以吃清淡易消化类的。在治疗期间患者需要做的饮食有节，规律作息积极参加体育锻炼，调节身心健康，保持自身卫生，避免因抵抗力下降而导致细菌入侵。
普通外科,全身都肿了腰痛拉肚子怎么治疗,"女，今年42岁，易疲劳,腰痛,尿频，1年多是什么肾虚，多做活动。请问全身都肿了腰痛拉肚子怎么治疗",大便性状受饮食、药物、胃肠道疾病、精神情绪等多种不同因素影响。因此，日常要留意饮食卫生、恰当膳食，均衡营养，饮食要规律，留意低脂、低盐食物，禁食油炸及刺激性食物，禁喝浓茶咖啡及冷饮，戒烟限酒，留意劳逸结合，防止加班，始终保持心情舒畅。建议口服益生菌治疗。必要时仔细检查肠镜。
普通外科,小腹痛腰痛不是例假怎么治疗,"女，今年43岁，易疲劳,腰痛,尿频，1年多是什么肾虚，多做活动。请问小腹痛腰痛不是例假怎么治疗",你好，如果有过性生活经历的话，那小肚子坠痛也不是月经期要来，白带增多也可能会是排卵期的原因。建议你如果忧心可以去正规医院的妇科门诊检查一下，明确确诊后对症解决。平时留意始终保持会阴部和性生活卫生，勤换内裤，勤泡澡，在月经期要严令禁止性生活的，期望我的解释能帮到你。
普通外科,腰痛记忆也没以前好怎么回事,"女，今年22岁，易疲劳,腰痛,尿频，1年多是什么肾虚，多做活动。请问腰痛记忆也没以前好怎么回事",你好，这是早泄的表现出。怕冷伴发腰疼、疲乏、记忆力下降是肾阳精不足的表现出。常用药物有右归胶囊、还少胶囊等。至少治疗一个月。平时生存多留意，禁辛辣刺激酒，不要久坐憋尿，约束性交，适当活动锻练增强体质，可以学习提肛活动。除了相应治疗措施缓解急性期症状外，做好日常保健和预防，给予正确的健康教育，对预防复发、防止加重、缓解症状都具有很好作用。
普通外科,房事后腰痛持续好几天怎么治疗,"女，今年44岁，易疲劳,腰痛,尿频，1年多是什么肾虚，多做活动。请问房事后腰痛持续好几天怎么治疗",根据你的上述叙述的情况，一般多考虑是因为频繁性生活或者频繁性交致使的前列腺炎因此建议你平时需要有惯多喝白开水的习惯，适当压制性交及性生活次数，同时需要有多举办体育锻炼，增强体质，不要加班，多会稳定的，除了相应治疗措施缓解急性期症状外，做好日常保健和预防，给予正确的健康教育，对预防复发、防止加重、缓解症状都具有很好作用。
